Timestamp (LOCAL_TIME),SPSQC:EXTRACTED_INTENSITY,SPS.BLM.21636.ZS1:LOSS_CYCLE,SPS.BLM.21652.ZS2:LOSS_CYCLE,SPS.BLM.21658.ZS3:LOSS_CYCLE,SPS.BLM.21674.ZS4:LOSS_CYCLE,SPS.BLM.21680.ZS5:LOSS_CYCLE,SPS.BLM.21694.TCE:LOSS_CYCLE,SPS.BLM.21772.TPST:LOSS_CYCLE,SPS.BLM.21775.MST1:LOSS_CYCLE,SPS.BLM.21776.MST1:LOSS_CYCLE,SPS.BLM.21792.MST3:LOSS_CYCLE,SPS.BLM.21796.MST3:LOSS_CYCLE,SPS.BLM.21835.MSE1:LOSS_CYCLE,SPS.BLM.21839.MSE2:LOSS_CYCLE,SPS.BLM.21905.QDA:LOSS_CYCLE,ZS.LSS2.GIRDER:DO_PPM,ZS.LSS2.GIRDER:UP_PPM,ZS1.LSS2.ANODE:DO_PPM,ZS1.LSS2.ANODE:UP_PPM,ZS2.LSS2.ANODE:DO_PPM,ZS2.LSS2.ANODE:UP_PPM,ZS3.LSS2.ANODE:DO_PPM,ZS3.LSS2.ANODE:UP_PPM,ZS4.LSS2.ANODE:DO_PPM,ZS4.LSS2.ANODE:UP_PPM,ZS5.LSS2.ANODE:DO_PPM,ZS5.LSS2.ANODE:UP_PPM
08:14.5,4.62E+01,6.85E-05,0.000137093,0.000205639,0.000182791,0.000159942,0.000159942,4.57E-05,2.28E-05,2.28E-05,1.14E-05,2.28E-05,0,1.14E-05,2.28E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
08:14.5,4.43E+01,7.15E-05,0.000166748,0.000262032,0.000226301,0.000238211,0.000238211,0.000131016,8.34E-05,7.15E-05,5.96E-05,3.57E-05,1.19E-05,0,4.76E-05,42.768,68.13,-0.78,-0.039,-0.481,-0.192,0.304,-0.008,0.785,0.795,-0.189,0.308
08:32.5,4.01E+01,6.59E-05,0.000144888,0.000210747,0.000184404,0.000171232,0.00015806,3.95E-05,2.63E-05,3.95E-05,1.32E-05,2.63E-05,0,0,3.95E-05,42.768,68.13,-0.157,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
08:50.5,4.10E+01,7.72E-05,0.000141558,0.000205902,0.000180164,0.000167295,0.000167295,5.15E-05,2.57E-05,1.29E-05,2.57E-05,1.29E-05,1.29E-05,0,2.57E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.569,0.624
08:50.5,4.28E+01,7.40E-05,0.000160363,0.000222041,0.000185034,0.00019737,0.00019737,0.000111021,7.40E-05,4.93E-05,3.70E-05,3.70E-05,1.23E-05,1.23E-05,3.70E-05,42.768,68.13,-0.78,-0.039,-0.481,0.095,0.304,-0.008,0.785,0.795,-0.192,0.308
09:08.5,4.24E+01,7.46E-05,0.000149279,0.000223919,0.000186599,0.000174159,0.000161719,4.98E-05,2.49E-05,3.73E-05,1.24E-05,1.24E-05,1.24E-05,1.24E-05,2.49E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.569,0.624
09:08.5,4.06E+01,7.81E-05,0.000156222,0.000208296,0.000169241,0.000182259,0.000195278,0.000117167,7.81E-05,6.51E-05,5.21E-05,3.91E-05,1.30E-05,1.30E-05,3.91E-05,42.768,68.13,-0.78,-0.039,-0.478,0.437,0.304,-0.005,0.785,0.795,-0.192,0.308
09:26.5,4.48E+01,7.07E-05,0.000153207,0.000212133,0.000188563,0.000176778,0.000164993,4.71E-05,3.54E-05,2.36E-05,2.36E-05,2.36E-05,1.18E-05,1.18E-05,3.54E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.569,0.624
09:26.5,4.39E+01,7.22E-05,0.000156502,0.000204657,0.000168541,0.000180579,0.000192618,0.000108348,7.22E-05,4.82E-05,3.61E-05,2.41E-05,1.20E-05,1.20E-05,3.61E-05,42.77,68.098,-0.78,-0.039,-0.478,0.245,0.304,-0.008,0.785,0.795,-0.192,0.308
09:44.5,4.53E+01,7.00E-05,0.000151612,0.000198261,0.000163274,0.000174936,0.000186599,0.000116624,7.00E-05,5.83E-05,4.66E-05,3.50E-05,0,0,3.50E-05,42.768,68.13,-0.78,-0.036,-0.478,0.344,0.304,-0.008,0.785,0.795,-0.192,0.308
09:44.5,4.15E+01,7.63E-05,0.000152672,0.000216285,0.00019084,0.000178117,0.000178117,5.09E-05,2.54E-05,3.82E-05,2.54E-05,0,1.27E-05,1.27E-05,3.82E-05,42.768,68.13,-0.157,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.569,0.624
10:02.5,3.87E+01,6.83E-05,0.000136536,0.000204804,0.000177496,0.000163843,0.000150189,4.10E-05,2.73E-05,2.73E-05,2.73E-05,1.37E-05,1.37E-05,1.37E-05,4.10E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
10:02.5,4.29E+01,7.38E-05,0.000147639,0.000209155,0.000172245,0.000184548,0.000184548,0.000110729,7.38E-05,3.69E-05,4.92E-05,3.69E-05,1.23E-05,0,2.46E-05,42.768,68.13,-0.78,-0.036,-0.478,0.305,0.304,-0.005,0.785,0.795,-0.192,0.305
10:20.5,4.24E+01,6.22E-05,0.000136839,0.000211479,0.000186599,0.000161719,0.000161719,3.73E-05,2.49E-05,2.49E-05,2.49E-05,1.24E-05,1.24E-05,1.24E-05,2.49E-05,42.768,68.13,-0.157,0.001,-0.496,0.602,0.441,-0.135,0.685,0.146,0.569,0.624
10:20.5,4.20E+01,7.55E-05,0.000138377,0.000201275,0.000163536,0.000176116,0.000188695,0.000100638,6.29E-05,6.29E-05,5.03E-05,3.77E-05,0,1.26E-05,2.52E-05,42.77,68.098,-0.78,-0.036,-0.478,0.269,0.304,-0.008,0.785,0.795,-0.192,0.305
10:38.5,3.82E+01,6.91E-05,0.000152043,0.000207332,0.000165866,0.000179688,0.000179688,0.000110577,6.91E-05,5.53E-05,4.15E-05,2.76E-05,1.38E-05,1.38E-05,2.76E-05,42.768,68.13,-0.78,-0.036,-0.478,0.326,0.304,-0.008,0.785,0.795,-0.192,0.305
10:38.5,4.57E+01,6.93E-05,0.000150049,0.000242386,0.000207759,0.000196217,0.000184675,4.62E-05,3.46E-05,3.46E-05,2.31E-05,2.31E-05,1.15E-05,1.15E-05,2.31E-05,42.77,68.098,-0.16,0.001,-0.496,0.602,0.441,-0.461,0.685,0.146,0.565,0.624
10:56.5,4.20E+01,7.55E-05,0.000150956,0.000201275,0.000163536,0.000176116,0.000176116,0.000100638,6.29E-05,5.03E-05,2.52E-05,3.77E-05,1.26E-05,1.26E-05,3.77E-05,42.77,68.098,-0.78,-0.036,-0.176,0.281,0.304,-0.008,0.785,0.795,-0.192,0.305
10:56.5,4.10E+01,7.72E-05,0.000141558,0.000244509,0.000218771,0.000193033,0.000180164,5.15E-05,2.57E-05,2.57E-05,2.57E-05,2.57E-05,1.29E-05,1.29E-05,3.86E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.461,0.685,0.146,0.562,0.624
11:14.5,3.96E+01,6.66E-05,0.000146613,0.000239913,0.000213256,0.000186599,0.000186599,4.00E-05,2.67E-05,2.67E-05,1.33E-05,1.33E-05,1.33E-05,1.33E-05,4.00E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.461,0.685,0.146,0.565,0.624
11:32.5,4.62E+01,6.85E-05,0.000159942,0.00020564,0.000171366,0.000182791,0.000194215,0.000114244,6.85E-05,5.71E-05,4.57E-05,3.43E-05,1.14E-05,1.14E-05,2.28E-05,42.77,68.098,-0.78,-0.039,-0.173,0.305,0.304,-0.008,0.785,0.795,-0.192,0.305
